Tag,Species,Site,Patch,Date,Timepoint,Tag.found,Bleaching.score.photo,Formalin.fixed,Sample.storage.location,Physiology.froze,Sample.storage.location,Molecular.froze,Sample.storage.location,Molecular.dna.rna.shield,Sample.storage.location,,,,,,,,,,
419,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
465,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
460,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
459,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
463,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
436,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
461,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
456,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
448,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
446,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
457,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
421,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
422,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
464,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
423,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
435,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
431,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
439,A. pulchra,Mahana,P4,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
426,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
437,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
428,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
447,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
432,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
458,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
438,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
451,A. pulchra,Mahana,P5,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
462,A. pulchra,Mahana,P1,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
427,A. pulchra,Mahana,P1,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
414,A. pulchra,Mahana,P1,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
434,A. pulchra,Mahana,P1,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
433,A. pulchra,Mahana,P1,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
429,A. pulchra,Mahana,P2,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
449,A. pulchra,Mahana,P2,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
415,A. pulchra,Mahana,P2,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
430,A. pulchra,Mahana,P2,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
416,A. pulchra,Mahana,P2,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
425,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
420,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
417,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
424,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
418,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
465,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
460,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
459,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
463,A. pulchra,Mahana,P3,1/26/22,2,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
436,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
461,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
456,A. pulchra,Mahana,P3,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
448,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
446,A. pulchra,Mahana,P4,1/26/22,2,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
457,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
421,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
422,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
464,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
423,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
435,A. pulchra,Mahana,P4,1/26/22,2,"no, 419 tag sampled instead","no, 419 tag sampled instead","no, 419 tag sampled instead",CRIOBE_BIO_MOL_1_4°C,"no, 419 tag sampled instead",GUMP molecular -40,"no, 419 tag sampled instead",GUMP biocode -40,"no, 419 tag sampled instead",GUMP biocode -40,,,,,,,,,,
431,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
439,A. pulchra,Mahana,P4,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
426,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
437,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
428,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
447,A. pulchra,Mahana,P5,1/26/22,2,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
432,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
458,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
438,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
451,A. pulchra,Mahana,P5,1/26/22,2,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
462,A. pulchra,Mahana,P1,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
427,A. pulchra,Mahana,P1,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
414,A. pulchra,Mahana,P1,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
434,A. pulchra,Mahana,P1,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
433,A. pulchra,Mahana,P1,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
429,A. pulchra,Mahana,P2,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
449,A. pulchra,Mahana,P2,2/15/22,3,No,No,No,no,No,,No,,No,,,,,,,,,,,
415,A. pulchra,Mahana,P2,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
430,A. pulchra,Mahana,P2,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
416,A. pulchra,Mahana,P2,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
425,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
420,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
417,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
424,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
418,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
465,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
460,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
459,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
463,A. pulchra,Mahana,P3,2/15/22,3,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
436,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
461,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
456,A. pulchra,Mahana,P3,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
448,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
446,A. pulchra,Mahana,P4,2/15/22,3,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
457,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
421,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
422,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
464,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
423,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
435,A. pulchra,Mahana,P4,2/15/22,3,"no, 419 tag sampled instead","no, 419 tag sampled instead","no, 419 tag sampled instead",GUMP.LTER.TallFridge.4°C,"no, 419 tag sampled instead",GUMP molecular -40,"no, 419 tag sampled instead",GUMP biocode -40,"no, 419 tag sampled instead",GUMP biocode -40,,,,,,,,,,
431,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
439,A. pulchra,Mahana,P4,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
426,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
437,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
428,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
447,A. pulchra,Mahana,P5,2/15/22,3,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,
432,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
458,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
438,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
451,A. pulchra,Mahana,P5,2/15/22,3,yes,yes,yes,GUMP.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP biocode -40,yes,GUMP biocode -40,,,,,,,,,,
462,A. pulchra,Mahana,P1,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
427,A. pulchra,Mahana,P1,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
414,A. pulchra,Mahana,P1,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
434,A. pulchra,Mahana,P1,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
433,A. pulchra,Mahana,P1,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
429,A. pulchra,Mahana,P2,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
449,A. pulchra,Mahana,P2,3/15/22,4,"tag not found, but location sampled",yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
415,A. pulchra,Mahana,P2,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
430,A. pulchra,Mahana,P2,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
416,A. pulchra,Mahana,P2,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
425,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
420,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
417,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
424,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
418,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
465,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
460,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
459,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
463,A. pulchra,Mahana,P3,3/15/22,4,"tag not found, but location sampled",yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
436,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
461,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
456,A. pulchra,Mahana,P3,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
448,A. pulchra,Mahana,P4,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
446,A. pulchra,Mahana,P4,3/15/22,4,"tag not found, but location sampled",yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
457,A. pulchra,Mahana,P4,3/15/22,4,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,GUMP molecular -40,yes,GUMP molecular -40,yes,GUMP molecular -40,,,,,,,,,,
